product_id;color_id
167;190190
167;190189
167;185738
167;185735
168;194481
168;191790
168;191789
169;194597
169;193282
170;194480
170;191946
170;191755
170;191754
171;194677
171;193277
172;194478
172;193278
172;191707
172;191706
173;191927
174;194676
175;194477
175;193249
175;191691
175;184564
175;184521
176;194475
176;194467
176;191676
176;191675
177;194474
177;191628
177;191626
177;184490
177;183722
177;161486
177;161476
178;194473
178;191625
178;191623
178;184489
178;184488
179;195122
179;193268
179;191630
180;197896
180;194255
180;190250
180;190248
180;190247
181;192312
181;190242
181;190239
181;190238
181;190235
181;185745
181;185742
182;199548
182;199546
182;190221
182;190220
182;190219
182;190218
183;199576
183;199573
183;192307
183;192304
183;190240
183;190222
184;199628
184;190208
184;190206
185;190197
185;190196
185;190190
185;190189
185;185738
185;185735
187;197555
187;188029
187;188028
187;188027
187;188026
187;187989
187;187988
188;187968
190;197555
190;188029
190;188028
190;188027
190;188026
190;187994
190;187989
191;197554
191;187958
191;187957
191;187956
191;187955
192;187987
192;187986
193;187971
193;187970
194;187984
194;187983
195;187975
196;197555
196;188029
196;188028
196;188027
196;187994
196;187989
196;187988
197;188041
197;188039
198;197554
198;187972
198;187958
198;187957
198;187955
199;197553
199;188044
199;188043
199;188042
200;187987
200;187985
201;187971
201;187969
202;197553
202;188045
202;188044
202;188042
203;197555
203;188028
203;188027
203;188026
203;187994
203;187989
203;187988
204;187984
204;187982
205;197555
205;188029
205;188028
205;188026
205;187994
205;187989
205;187988
206;197554
206;187972
206;187957
206;187956
206;187955
207;197554
207;187972
207;187958
207;187957
207;187956
208;188041
208;188040
209;194092
209;194091
210;194090
210;179951
210;163467
211;194085
211;194084
211;181720
211;179942
211;163459
213;189219
214;187822
215;200606
215;195674
215;187821
216;200606
216;195593
216;187821
217;195406
217;191097
217;189217
218;187814
219;200599
219;194079
219;187809
219;181357
219;153702
222;200309
222;195734
222;192793
222;191026
222;182979
223;200307
224;200308
224;197471
224;195724
225;187677
225;183784
225;165094
226;197462
227;200070
227;195927
227;191948
227;187675
227;183783
227;183781
228;200070
228;195733
228;191948
228;187675
228;183783
228;183781
229;200069
229;195732
229;191947
229;187673
229;183782
230;200068
230;187670
231;197472
231;191024
232;200308
232;197471
232;196756
233;200309
233;196760
233;192793
233;191026
233;182979
235;200069
235;195926
235;191947
235;187673
235;183782
236;197896
236;194255
236;190250
236;190249
236;190248
237;197892
238;190243
239;199533
239;199532
239;190233
239;185751
239;185741
240;199536
240;199535
240;196462
240;192314
240;190199
240;185871
240;185858
241;190213
241;185866
242;192312
242;190242
242;190239
242;190238
242;190237
242;185745
242;185742
243;199548
243;199546
243;190221
243;190220
243;190218
243;190217
244;198979
245;185700
247;199576
247;199573
247;192307
247;192304
247;190222
247;190216
248;199627
248;190251
249;199579
249;199578
249;190228
249;190227
250;199634
250;190230
251;199576
251;199573
251;192307
251;192304
251;190240
251;190222
252;199631
252;190210
253;199628
253;190207
253;190206
254;190193
255;190194
255;185734
255;185733
256;190197
256;190196
256;190191
256;190190
256;185738
256;185735
258;194473
258;191625
258;191624
258;191623
258;184489
259;185686
260;199576
260;199573
260;192307
260;192304
260;190240
260;190222
261;192312
261;190242
261;190239
261;190238
261;190237
261;190235
261;185742
262;199533
262;199532
262;190233
262;190232
262;185751
263;199536
263;199535
263;196462
263;192314
263;190214
263;190199
263;185871
264;199548
264;199546
264;190221
264;190220
264;190219
264;190218
265;190213
265;190212
266;185862
267;185747
268;185864
270;185739
271;185896
272;185893
273;190197
273;190196
273;190191
273;190190
273;190189
273;185738
274;190195
274;190194
274;185733
276;187977
276;187976
277;187992
278;188034
278;188033
279;187962
279;187961
280;182968
280;180205
281;187959
281;182960
281;179911
282;188037
282;188036
282;187965
282;187953
282;187952
282;185839
283;196880
283;179951
283;163467
284;196879
284;194091
285;196873
285;194084
285;181720
285;179942
285;163459
286;196879
286;194092
287;196873
287;194085
287;181720
287;179942
287;163459
288;200599
288;195576
288;187809
288;181357
288;153702
289;181836
290;190185
291;199548
291;199546
291;190221
291;190220
291;190219
291;190218
292;161488
296;191684
296;191683
296;191682
299;194477
299;193249
299;191691
299;191690
299;184564
300;194474
300;191628
300;191627
300;191626
300;183722
300;161486
300;161476
301;194473
301;191625
301;191624
301;191623
301;184488
302;192312
302;190242
302;190239
302;190238
302;190237
302;190235
302;185745
303;199533
303;199532
303;190233
303;190232
303;185741
304;199548
304;199546
304;190221
304;190220
304;190219
304;190218
305;199536
305;199535
305;196462
305;192314
305;190214
305;190199
305;185858
306;189638
307;185746
308;185869
