product_id;Product Type:;Producer:;Collections:;Age Group:;Ground type:;Class:;Upper:;Type of binding:;Boots with sock:;Collection:;Color:;Plays in these boots:;Manufacturer's Data:;Team:
360;Football boots;Puma;Puma Future;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;Yes;Puma Voltage;Yellow, Gray;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
361;Football boots;Puma;Puma Ultra;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;Puma Voltage;Yellow;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
362;Football boots;Puma;Puma Ultra;Men;Firm Ground (FG), Artificial Grass (AG/TF);Professional;Synthetic;Shoelace;No;Puma Voltage;Yellow;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
363;Football boots;Puma;Puma King;Men;Firm Ground (FG), Artificial Grass (AG/TF);Professional;Synthetic;Shoelace;No;Puma Voltage;White;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
364;Football boots;Puma;Puma Future;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;Yes;Puma Gear Up;Navy blue;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
365;Football boots;Puma;Puma Future;Men;Artificial Grass (AG/TF);Professional;Synthetic;Shoelace;Yes;Puma Gear Up;Navy blue;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
366;Football boots;Puma;Puma Ultra;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;Puma Gear Up;Blue;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
367;Football boots;Puma;Puma Ultra;Men;Firm Ground (FG), Artificial Grass (AG/TF);Professional;Synthetic;Shoelace;No;Puma Gear Up;Blue;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
368;Football boots;Puma;Puma Ultra;Men;Artificial Grass (AG/TF);Professional;Synthetic;Shoelace;No;Puma Gear Up;Blue;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
369;Football boots;Puma;Puma King;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;Puma Gear Up;Navy blue;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
370;Football boots;Puma;Puma King;Men;Firm Ground (FG), Artificial Grass (AG/TF);Professional;Synthetic;Shoelace;No;Puma Gear Up;Navy blue;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
371;Football boots;New Balance;New Balance Furon;Men;Firm Ground (FG);Professional;Synthetic;;No;New Balance Furon Canvas Series Bukayo Saka;Lime;;New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, MA 02135-2088, US;
372;Football boots;Mizuno;Mizuno Morelia Neo;Men;Firm Ground (FG);Professional;Leather;Shoelace;No;;White;;Mizuno Co., Mizuno House, 612 Reading Road, Winnersh, Wokingham, Berkshire RG41 5HE, UK;
373;Football boots;Mizuno;Mizuno Morelia Neo;Men;Soft Ground (SG/SG-PRO);Professional;Leather;Shoelace;;;Black;;Mizuno Co., Mizuno House, 612 Reading Road, Winnersh, Wokingham, Berkshire RG41 5HE, UK;
374;Football boots;Mizuno;Mizuno Morelia Neo;Men;Firm Ground (FG);Professional;Leather;Shoelace;No;;Black;;Mizuno Co., Mizuno House, 612 Reading Road, Winnersh, Wokingham, Berkshire RG41 5HE, UK;
375;Football boots;Mizuno;Mizuno Morelia Neo;Men;Soft Ground (SG/SG-PRO);Professional;Leather;Shoelace;;;Red;;Mizuno Co., Mizuno House, 612 Reading Road, Winnersh, Wokingham, Berkshire RG41 5HE, UK;
376;Football boots;Mizuno;Mizuno Morelia Neo;Men;Soft Ground (SG/SG-PRO);Professional;Leather;Shoelace;;;Black;;Mizuno Co., Mizuno House, 612 Reading Road, Winnersh, Wokingham, Berkshire RG41 5HE, UK;
377;Football boots;Mizuno;Mizuno Morelia Neo;Men;Indoor (IC/IN);Professional;Synthetic;Shoelace;No;;White;;Mizuno Co., Mizuno House, 612 Reading Road, Winnersh, Wokingham, Berkshire RG41 5HE, UK;
378;Football boots;Nike;Nike Tiempo;Men;Soft Ground (SG/SG-PRO);Professional;Leather;Shoelace;No;Nike Ready Pack;White;;NIKE Retail B.V., PO BOX 6453, Colosseum 1, 1213 0, NL;
379;Football boots;Nike;Nike Tiempo;Men;Soft Ground (SG/SG-PRO);Professional;Leather;Shoelace;No;Nike Ready Pack;White;;NIKE Retail B.V., PO BOX 6453, Colosseum 1, 1213 0, NL;
380;Football boots;adidas;adidas X;Men;Firm Ground (FG);Professional;Synthetic;Shoelace;No;adidas Pearlized;White;;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
381;Football boots;adidas;adidas X;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;adidas Nightstrike;Black;;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
382;Football boots;adidas;adidas Predator;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Lack;No;adidas Crazyrush;White, Green;Jude Bellingham;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
383;Football boots;adidas;adidas Predator;Men;Artificial Grass (AG/TF);Professional;Synthetic;Lack;No;adidas Crazyrush;White, Green;Jude Bellingham;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
384;Football boots;adidas;adidas Predator;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;adidas Crazyrush;White, Green;Jude Bellingham;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
385;Football boots;adidas;adidas Predator;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;adidas Crazyrush;White, Green;Jude Bellingham;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
